0,Id,IdType,description
Mapoly0004s0091,GO:0055114 K00430 PF00141 GO:0020037 PTHR31235 1.11.1.7 GO:0006979 GO:0004601,GO KEGGORTH PFAM GO PANTHER EC GO GO,oxidation-reduction process peroxidase [EC:1.11.1.7] Peroxidase heme binding FAMILY NOT NAMED Peroxidase. response to oxidative stress peroxidase activity
Mapoly0004s0092,GO:0055114 K00430 PF00141 GO:0020037 PTHR31235 1.11.1.7 GO:0006979 GO:0004601,GO KEGGORTH PFAM GO PANTHER EC GO GO,oxidation-reduction process peroxidase [EC:1.11.1.7] Peroxidase heme binding FAMILY NOT NAMED Peroxidase. response to oxidative stress peroxidase activity
Mapoly0004s0093,GO:0055114 K00430 PF00141 GO:0020037 PTHR31235 1.11.1.7 GO:0006979 GO:0004601,GO KEGGORTH PFAM GO PANTHER EC GO GO,oxidation-reduction process peroxidase [EC:1.11.1.7] Peroxidase heme binding FAMILY NOT NAMED Peroxidase. response to oxidative stress peroxidase activity
Mapoly0004s0094,GO:0055114 K00430 PF00141 GO:0020037 PTHR31235 1.11.1.7 GO:0006979 GO:0004601,GO KEGGORTH PFAM GO PANTHER EC GO GO,oxidation-reduction process peroxidase [EC:1.11.1.7] Peroxidase heme binding FAMILY NOT NAMED Peroxidase. response to oxidative stress peroxidase activity
Mapoly0004s0095,KOG1303 PF01490 PTHR22950:SF205 PTHR22950,KOG PFAM PANTHER PANTHER,Amino acid transporters Transmembrane amino acid transporter protein nan AMINO ACID TRANSPORTER
Mapoly0004s0096,K11548 GO:0007067 PTHR21650 PF03800 KOG4438 GO:0000775 PTHR21650:SF2,KEGGORTH GO PANTHER PFAM KOG GO PANTHER,"kinetochore protein Nuf2 mitosis MEMBRALIN/KINETOCHORE PROTEIN NUF2 Nuf2 family Centromere-associated protein NUF2 chromosome, centromeric region KINETOCHORE PROTEIN NUF2"
Mapoly0004s0097,PF14368,PFAM,Probable lipid transfer
Mapoly0004s0098,GO:0005524 KOG1187 PF00069 GO:0005515 GO:0004672 PF00560 GO:0006468 PTHR24420,GO KOG PFAM GO GO PFAM GO PANTHER,ATP binding Serine/threonine protein kinase Protein kinase domain protein binding protein kinase activity Leucine Rich Repeat protein phosphorylation LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE
Mapoly0004s0099,GO:0005524 KOG1187 PF00069 GO:0005515 GO:0004672 PF00560 GO:0006468 PTHR24420,GO KOG PFAM GO GO PFAM GO PANTHER,ATP binding Serine/threonine protein kinase Protein kinase domain protein binding protein kinase activity Leucine Rich Repeat protein phosphorylation LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE
Mapoly0004s0100,GO:0005524 KOG1187 PF00069 GO:0005515 GO:0004672 PF00560 GO:0006468 PTHR24420,GO KOG PFAM GO GO PFAM GO PANTHER,ATP binding Serine/threonine protein kinase Protein kinase domain protein binding protein kinase activity Leucine Rich Repeat protein phosphorylation LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE
Mapoly0004s0104,GO:0045454 PTHR18929:SF74 PF13848 KOG0190 PF00085 PTHR18929,GO PANTHER PFAM KOG PFAM PANTHER,cell redox homeostasis nan Thioredoxin-like domain Protein disulfide isomerase (prolyl 4-hydroxylase beta subunit) Thioredoxin PROTEIN DISULFIDE ISOMERASE
Mapoly0004s0106,PTHR13271 PTHR13271:SF24,PANTHER PANTHER,UNCHARACTERIZED PUTATIVE METHYLTRANSFERASE nan
Mapoly0004s0107,GO:0045454 PTHR18929:SF74 5.3.4.1 PF13848 KOG0190 PF00085 K09580 PTHR18929,GO PANTHER EC PFAM KOG PFAM KEGGORTH PANTHER,cell redox homeostasis nan Protein disulfide-isomerase. Thioredoxin-like domain Protein disulfide isomerase (prolyl 4-hydroxylase beta subunit) Thioredoxin protein disulfide-isomerase A1 [EC:5.3.4.1] PROTEIN DISULFIDE ISOMERASE
Mapoly0004s0108,GO:0007067 K11578 GO:0005634 PTHR12205:SF0 GO:0000775 PTHR12205 PF06248,GO KEGGORTH GO PANTHER GO PANTHER PFAM,"mitosis centromere/kinetochore protein ZW10 nucleus SUBFAMILY NOT NAMED chromosome, centromeric region CENTROMERE/KINETOCHORE PROTEIN ZW10 Centromere/kinetochore Zw10"
Mapoly0004s0109,GO:0005515 PTHR19868 KOG0279 PTHR19868:SF0 PF00400,GO PANTHER KOG PANTHER PFAM,"protein binding RECEPTOR FOR ACTIVATED PROTEIN KINASE C (RACK1) G protein beta subunit-like protein SUBFAMILY NOT NAMED WD domain, G-beta repeat"
Mapoly0004s0110,K03424 GO:0016888 PTHR10060:SF17 KOG3020 3.1.21.- PF01026 PTHR10060,KEGGORTH GO PANTHER KOG EC PFAM PANTHER,"TatD DNase family protein [EC:3.1.21.-] endodeoxyribonuclease activity, producing 5'-phosphomonoesters nan TatD-related DNase Endodeoxyribonucleases producing 5'-phosphomonoesters. TatD related DNase TATD FAMILY DEOXYRIBONUCLEASE"
Mapoly0004s0111,PF13418 PTHR23244 GO:0005515 PF01344 PTHR23244:SF276,PFAM PANTHER GO PFAM PANTHER,"Galactose oxidase, central domain KELCH REPEAT DOMAIN protein binding Kelch motif nan"
Mapoly0004s0114,PF03097 K12200 PTHR23030 KOG2220 GO:0005515 PF13949 PTHR23030:SF13,PFAM KEGGORTH PANTHER KOG GO PFAM PANTHER,BRO1-like domain programmed cell death 6-interacting protein PCD6 INTERACTING PROTEIN-RELATED Predicted signal transduction protein protein binding ALIX V-shaped domain binding to HIV SUBFAMILY NOT NAMED
Mapoly0004s0117,PF12774 PF12780 GO:0005524 K10408 PF12775 GO:0030286 PTHR10676:SF183 PTHR10676 PF08385 PF03028 PF07728 GO:0016887 KOG3595 PF12777 GO:0007018 PF08393 PF12781 GO:0003777,PFAM PFAM GO KEGGORTH PFAM GO PANTHER PANTHER PFAM PFAM PFAM GO KOG PFAM GO PFAM PFAM GO,"Hydrolytic ATP binding site of dynein motor region D1 P-loop containing dynein motor region D4 ATP binding dynein heavy chain, axonemal P-loop containing dynein motor region D3 dynein complex SUBFAMILY NOT NAMED DYNEIN HEAVY CHAIN FAMILY PROTEIN Dynein heavy chain, N-terminal region 1 Dynein heavy chain and region D6 of dynein motor AAA domain (dynein-related subfamily) ATPase activity Dyneins, heavy chain Microtubule-binding stalk of dynein motor microtubule-based movement Dynein heavy chain, N-terminal region 2 ATP-binding dynein motor region D5 microtubule motor activity"
Mapoly0004s0118,KOG0121 PTHR15241 GO:0003676 PF00076,KOG PANTHER GO PFAM,"Nuclear cap-binding protein complex, subunit CBP20 (RRM superfamily) TRANSFORMER-2-RELATED nucleic acid binding RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
Mapoly0004s0119,PTHR13271 PTHR13271:SF24,PANTHER PANTHER,UNCHARACTERIZED PUTATIVE METHYLTRANSFERASE nan
Mapoly0004s0120,PF04998 GO:0003677 PF00623 PTHR19376 PF05000 PF11523 PF04997 GO:0006351 GO:0003899 PF04983 KOG0261 PTHR19376:SF33,PFAM GO PFAM PANTHER PFAM PFAM PFAM GO GO PFAM KOG PANTHER,"RNA polymerase Rpb1, domain 5 DNA binding RNA polymerase Rpb1, domain 2 DNA-DIRECTED RNA POLYMERASE RNA polymerase Rpb1, domain 4 Protein of unknown function (DUF3223) RNA polymerase Rpb1, domain 1 transcription, DNA-dependent DNA-directed RNA polymerase activity RNA polymerase Rpb1, domain 3 RNA polymerase III, large subunit DNA-DIRECTED RNA POLYMERASE SUBUNIT BETA''"
Mapoly0004s0121,KOG3189 PF03332 GO:0019307 GO:0005737 K01840 PTHR10466 5.4.2.8 GO:0004615,KOG PFAM GO GO KEGGORTH PANTHER EC GO,Phosphomannomutase Eukaryotic phosphomannomutase mannose biosynthetic process cytoplasm phosphomannomutase [EC:5.4.2.8] PHOSPHOMANNOMUTASE Phosphomannomutase. phosphomannomutase activity
Mapoly0004s0122,PF07498 GO:0006353,PFAM GO,"Rho termination factor, N-terminal domain DNA-dependent transcription, termination"
Mapoly0004s0125,PTHR13906 PF03062 KOG2704 PTHR13906:SF4,PANTHER PFAM KOG PANTHER,"PORCUPINE MBOAT, membrane-bound O-acyltransferase family Predicted membrane protein O-ACYLTRANSFERASE (MEMBRANE BOUND) DOMAIN CONTAINING PROTEIN"
Mapoly0004s0128,GO:0005524 K08864 PF00069 GO:0004672 2.7.11.1 PTHR22974:SF23 GO:0006468 PTHR22974 KOG1151,GO KEGGORTH PFAM GO EC PANTHER GO PANTHER KOG,ATP binding tousled-like kinase [EC:2.7.11.1] Protein kinase domain protein kinase activity Non-specific serine/threonine protein kinase. nan protein phosphorylation MIXED LINEAGE PROTEIN KINASE Tousled-like protein kinase
Mapoly0004s0129,3.1.2.15 PF00443 PF12436 PF00917 GO:0006511 GO:0005515 KOG1863 PF14533 PTHR24619 GO:0036459 K11838 PTHR24619:SF121,EC PFAM PFAM PFAM GO GO KOG PFAM PANTHER GO KEGGORTH PANTHER,Ubiquitin thiolesterase. Ubiquitin carboxyl-terminal hydrolase ICP0-binding domain of Ubiquitin-specific protease 7 MATH domain ubiquitin-dependent protein catabolic process protein binding Ubiquitin carboxyl-terminal hydrolase Ubiquitin-specific protease C-terminal FAMILY NOT NAMED nan ubiquitin carboxyl-terminal hydrolase 7 [EC:3.1.2.15] nan
Mapoly0004s0130,PF03134 PTHR12300 PTHR12300:SF28 KOG1725,PFAM PANTHER PANTHER KOG,"TB2/DP1, HVA22 family HVA22-LIKE PROTEINS nan Protein involved in membrane traffic (YOP1/TB2/DP1/HVA22 family)"
Mapoly0004s0131,PTHR14986:SF4 GO:0005737 PTHR14986 GO:0034227 K12161 KOG4146 PF09138,PANTHER GO PANTHER GO KEGGORTH KOG PFAM,gb def: agcp5965 [anopheles gambiae str. pest] cytoplasm RURM1 PROTEIN tRNA thio-modification ubiquitin related modifier 1 Ubiquitin-like protein Urm1 (Ubiquitin related modifier)
Mapoly0004s0135,PF06421 PF00009 PF00679 GO:0003924 PTHR23115 GO:0005525 PF03144 PTHR23115:SF97 KOG0462,PFAM PFAM PFAM GO PANTHER GO PFAM PANTHER KOG,GTP-binding protein LepA C-terminus Elongation factor Tu GTP binding domain Elongation factor G C-terminus GTPase activity TRANSLATION FACTOR GTP binding Elongation factor Tu domain 2 nan Elongation factor-type GTP-binding protein
Mapoly0004s0137,PTHR10774 PTHR10774:SF43 PF00168 GO:0005515,PANTHER PANTHER PFAM GO,EXTENDED SYNAPTOTAGMIN-RELATED nan C2 domain protein binding
Mapoly0004s0139,GO:0055114 K00430 PF00141 GO:0020037 1.11.1.7 GO:0006979 GO:0004601 PTHR31388,GO KEGGORTH PFAM GO EC GO GO PANTHER,oxidation-reduction process peroxidase [EC:1.11.1.7] Peroxidase heme binding Peroxidase. response to oxidative stress peroxidase activity FAMILY NOT NAMED
Mapoly0004s0140,K12197 KOG3232 PF03357 PTHR10476 GO:0015031 PTHR10476:SF2,KEGGORTH KOG PFAM PANTHER GO PANTHER,charged multivesicular body protein 1 Vacuolar assembly/sorting protein DID2 Snf7 CHARGED MULTIVESICULAR BODY PROTEIN protein transport CHARGED MULTIVESICULAR BODY PROTEIN 1A
Mapoly0004s0141,KOG4214 PTHR24188 PF12796,KOG PANTHER PFAM,Myotrophin and similar proteins ANKYRIN REPEAT PROTEIN Ankyrin repeats (3 copies)
Mapoly0004s0142,GO:0008270 PTHR22883:SF47 PF01529 KOG1312 PTHR22883,GO PANTHER PFAM KOG PANTHER,zinc ion binding nan DHHC palmitoyltransferase DHHC-type Zn-finger proteins ZINC FINGER DHHC DOMAIN CONTAINING PROTEIN
Mapoly0004s0143,PTHR32133 PTHR32133:SF83 GO:0005515 PF00646,PANTHER PANTHER GO PFAM,FAMILY NOT NAMED nan protein binding F-box domain
Mapoly0004s0145,PTHR24012 PTHR24012:SF310 PF14259,PANTHER PANTHER PFAM,"FAMILY NOT NAMED nan RNA recognition motif (a.k.a. RRM, RBD, or RNP domain)"
Mapoly0004s0146,PF12681,PFAM,Glyoxalase-like domain
Mapoly0004s0148,KOG4224 PTHR23315 GO:0005515 PF04564 GO:0016567 PF00514 GO:0004842,KOG PANTHER GO PFAM GO PFAM GO,"Armadillo repeat protein VAC8 required for vacuole fusion, inheritance and cytosol-to-vacuole protein targeting BETA CATENIN-RELATED ARMADILLO REPEAT-CONTAINING protein binding U-box domain protein ubiquitination Armadillo/beta-catenin-like repeat ubiquitin-protein ligase activity"
Mapoly0004s0150,PF00514 GO:0005515 PTHR23315,PFAM GO PANTHER,Armadillo/beta-catenin-like repeat protein binding BETA CATENIN-RELATED ARMADILLO REPEAT-CONTAINING
Mapoly0004s0151,GO:0016567 PF00514 GO:0005515 PTHR23315:SF7 GO:0004842 PTHR23315 PF04564,GO PFAM GO PANTHER GO PANTHER PFAM,protein ubiquitination Armadillo/beta-catenin-like repeat protein binding ANKYRIN-REPEAT-ARM DOMAIN PROTEIN ubiquitin-protein ligase activity BETA CATENIN-RELATED ARMADILLO REPEAT-CONTAINING U-box domain
Mapoly0004s0153,PTHR16201:SF34 KOG2913 PTHR16201 PF04193,PANTHER KOG PANTHER PFAM,nan Predicted membrane protein FAMILY NOT NAMED PQ loop repeat
Mapoly0004s0154,KOG1344 PF00850 PTHR10625,KOG PFAM PANTHER,Predicted histone deacetylase Histone deacetylase domain HISTONE DEACETYLASE
Mapoly0004s0155,PF13302 GO:0008080,PFAM GO,Acetyltransferase (GNAT) domain N-acetyltransferase activity
Mapoly0004s0156,GO:0005840 PF01200 GO:0003735 K02979 GO:0005622 KOG3502 PTHR10769 GO:0006412,GO PFAM GO KEGGORTH GO KOG PANTHER GO,ribosome Ribosomal protein S28e structural constituent of ribosome small subunit ribosomal protein S28e intracellular 40S ribosomal protein S28 40S RIBOSOMAL PROTEIN S28 translation
Mapoly0004s0157,GO:0005515 PTHR22937 PF13639 GO:0008270,GO PANTHER PFAM GO,protein binding RING FINGER CONTAINING PROTEIN Ring finger domain zinc ion binding
Mapoly0004s0158,GO:0033179 3.6.3.14 K02154 PTHR11629 GO:0015078 GO:0015991 PF01496 KOG2189 PTHR11629:SF62,GO EC KEGGORTH PANTHER GO GO PFAM KOG PANTHER,"proton-transporting V-type ATPase, V0 domain H(+)-transporting two-sector ATPase. V-type H+-transporting ATPase subunit I [EC:3.6.3.14] VACUOLAR PROTON ATPASES hydrogen ion transmembrane transporter activity ATP hydrolysis coupled proton transport V-type ATPase 116kDa subunit family Vacuolar H+-ATPase V0 sector, subunit a nan"
Mapoly0004s0160,PTHR11732:SF142 KOG1577 PTHR11732 PF00248,PANTHER KOG PANTHER PFAM,nan Aldo/keto reductase family proteins ALDO/KETO REDUCTASE Aldo/keto reductase family
Mapoly0004s0163,PF00504 PTHR14154:SF5 PTHR14154,PFAM PANTHER PANTHER,Chlorophyll A-B binding protein SUBFAMILY NOT NAMED UPF0041 BRAIN PROTEIN 44-RELATED
Mapoly0004s0164,PF00504 PTHR14154:SF5 PTHR14154,PFAM PANTHER PANTHER,Chlorophyll A-B binding protein SUBFAMILY NOT NAMED UPF0041 BRAIN PROTEIN 44-RELATED
Mapoly0004s0165,3.6.3.6 K01535 GO:0000166 PF00702 KOG0205 PTHR24093 PTHR24093:SF264 PF00690 GO:0046872 PF00122,EC KEGGORTH GO PFAM KOG PANTHER PANTHER PFAM GO PFAM,"Proton-exporting ATPase. H+-transporting ATPase [EC:3.6.3.6] nucleotide binding haloacid dehalogenase-like hydrolase Plasma membrane H+-transporting ATPase FAMILY NOT NAMED nan Cation transporter/ATPase, N-terminus metal ion binding E1-E2 ATPase"
Mapoly0004s0166,PTHR22904:SF7 PF13414 PF00226 PTHR22904,PANTHER PFAM PFAM PANTHER,SGT-1-RELATED TPR repeat DnaJ domain TPR REPEAT CONTAINING PROTEIN
Mapoly0004s0169,GO:0003677 GO:0006338 GO:0005524 PF09110 K11654 GO:0043044 PTHR10799 PF00176 GO:0005634 PTHR10799:SF73 PF00271 3.6.4.- KOG0385 GO:0003676 GO:0031491 GO:0016818 PF09111,GO GO GO PFAM KEGGORTH GO PANTHER PFAM GO PANTHER PFAM EC KOG GO GO GO PFAM,"DNA binding chromatin remodeling ATP binding HAND SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:3.6.4.-] ATP-dependent chromatin remodeling SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY-RELATED SNF2 family N-terminal domain nucleus ISWI CHROMATIN-REMODELING COMPLEX ATPASE ISW1 Helicase conserved C-terminal domain Acting on acid anhydrides; involved in cellular and subcellular movement. Chromatin remodeling complex WSTF-ISWI, small subunit nucleic acid binding nucleosome binding hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides SLIDE"
Mapoly0004s0170,PF04357,PFAM,Family of unknown function (DUF490)
Mapoly0004s0171,PTHR10012 GO:0019211 KOG2867 PF03095,PANTHER GO KOG PFAM,SERINE/THREONINE-PROTEIN PHOSPHATASE 2A REGULATORY SUBUNIT B phosphatase activator activity Phosphotyrosyl phosphatase activator Phosphotyrosyl phosphate activator (PTPA) protein
Mapoly0004s0172,GO:0005840 PF00203 KOG0898 GO:0006412 K02958 GO:0003735 PTHR11880,GO PFAM KOG GO KEGGORTH GO PANTHER,ribosome Ribosomal protein S19 40S ribosomal protein S15 translation small subunit ribosomal protein S15e structural constituent of ribosome RIBOSOMAL PROTEIN S19P FAMILY MEMBER
Mapoly0004s0173,PF02536 PTHR13068,PFAM PANTHER,mTERF CGI-12 PROTEIN-RELATED
Mapoly0004s0174,PTHR10795:SF328 GO:0004252 PF00082 GO:0006508 PTHR10795,PANTHER GO PFAM GO PANTHER,nan serine-type endopeptidase activity Subtilase family proteolysis PROPROTEIN CONVERTASE SUBTILISIN/KEXIN
Mapoly0004s0175,GO:0055114 KOG0069 PTHR10996:SF16 PTHR10996 GO:0016616 GO:0008152 GO:0051287 PF02826 1.2.1.2 PF00389 K00122,GO KOG PANTHER PANTHER GO GO GO PFAM EC PFAM KEGGORTH,"oxidation-reduction process Glyoxylate/hydroxypyruvate reductase (D-isomer-specific 2-hydroxy acid dehydrogenase superfamily) FORMATE DEHYDROGENASE 2-HYDROXYACID DEHYDROGENASE-RELATED oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor metabolic process NAD binding D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain Formate dehydrogenase. D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain formate dehydrogenase [EC:1.2.1.2]"
Mapoly0004s0176,KOG1454 PTHR10992 PF12697,KOG PANTHER PFAM,Predicted hydrolase/acyltransferase (alpha/beta hydrolase superfamily) ALPHA/BETA HYDROLASE FOLD-CONTAINING PROTEIN Alpha/beta hydrolase family
Mapoly0004s0177,GO:0005506 KOG0156 GO:0055114 GO:0016705 PTHR24298:SF57 GO:0020037 PTHR24298 PF00067,GO KOG GO GO PANTHER GO PANTHER PFAM,"iron ion binding Cytochrome P450 CYP2 subfamily oxidation-reduction process oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen nan heme binding FAMILY NOT NAMED Cytochrome P450"
Mapoly0004s0179,PF07173,PFAM,Protein of unknown function (DUF1399)
Mapoly0004s0182,GO:0005506 KOG0156 GO:0055114 GO:0016705 GO:0020037 PTHR24298 PF00067,GO KOG GO GO GO PANTHER PFAM,"iron ion binding Cytochrome P450 CYP2 subfamily oxidation-reduction process oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen heme binding FAMILY NOT NAMED Cytochrome P450"
Mapoly0004s0184,GO:0005515 PF00856 K07117 PTHR12197 PTHR12197:SF129,GO PFAM KEGGORTH PANTHER PANTHER,protein binding SET domain uncharacterized protein SET AND MYND DOMAIN CONTAINING nan
Mapoly0004s0185,PTHR13149:SF0 KOG4068 K12189 PF05871 PTHR13149,PANTHER KOG KEGGORTH PFAM PANTHER,SUBFAMILY NOT NAMED Uncharacterized conserved protein ESCRT-II complex subunit VPS25 ESCRT-II complex subunit VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN VPS25
Mapoly0004s0187,KOG4620 PTHR13675 PF05347,KOG PANTHER PFAM,Uncharacterized conserved protein FAMILY NOT NAMED Complex 1 protein (LYR family)
Mapoly0004s0188,GO:0005840 K02991 PTHR11502 KOG1646 GO:0003735 GO:0005622 PTHR11502:SF6 PF01092 GO:0006412,GO KEGGORTH PANTHER KOG GO GO PANTHER PFAM GO,ribosome small subunit ribosomal protein S6e 40S RIBOSOMAL PROTEIN S6 40S ribosomal protein S6 structural constituent of ribosome intracellular nan Ribosomal protein S6e translation
Mapoly0004s0190,GO:0019867 PTHR12815 PF07244 KOG2602 PF01103,GO PANTHER PFAM KOG PFAM,outer membrane SORTING AND ASSEMBLY MACHINERY (SAM50) PROTEIN Surface antigen variable number repeat Predicted cell surface protein homologous to bacterial outer membrane proteins Surface antigen
Mapoly0004s0191,GO:0009116 K00764 2.4.2.14 KOG0572 PTHR11907 GO:0008152 PF13537 PTHR11907:SF0 PF00156,GO KEGGORTH EC KOG PANTHER GO PFAM PANTHER PFAM,nucleoside metabolic process amidophosphoribosyltransferase [EC:2.4.2.14] Amidophosphoribosyltransferase. Glutamine phosphoribosylpyrophosphate amidotransferase AMIDOPHOSPHORIBOSYLTRANSFERASE metabolic process Glutamine amidotransferase domain SUBFAMILY NOT NAMED Phosphoribosyl transferase domain
Mapoly0004s0192,GO:0005524 PF00069 GO:0004672 KOG0616 2.7.11.11 PTHR24353 GO:0006468 K04345,GO PFAM GO KOG EC PANTHER GO KEGGORTH,ATP binding Protein kinase domain protein kinase activity cAMP-dependent protein kinase catalytic subunit (PKA) cAMP-dependent protein kinase. CYCLIC NUCLEOTIDE-DEPENDENT PROTEIN KINASE protein phosphorylation protein kinase A [EC:2.7.11.11]
Mapoly0004s0193,PF13855 GO:0005515 PTHR10588 PF14580 PTHR10588:SF209 PF12799 KOG0472,PFAM GO PANTHER PFAM PANTHER PFAM KOG,Leucine rich repeat protein binding FAMILY NOT NAMED Leucine-rich repeat nan Leucine Rich repeats (2 copies) Leucine-rich repeat protein
Mapoly0004s0194,KOG2947 PF00294 PTHR10584:SF104 PTHR10584,KOG PFAM PANTHER PANTHER,Carbohydrate kinase pfkB family carbohydrate kinase SUBFAMILY NOT NAMED SUGAR KINASE
Mapoly0004s0198,KOG4495 PF00240 PTHR10666 PTHR10666:SF105 GO:0005515,KOG PFAM PANTHER PANTHER GO,"RNA polymerase II transcription elongation factor Elongin/SIII, subunit elongin B Ubiquitin family UBIQUITIN nan protein binding"
Mapoly0004s0201,PF07910 PTHR13226 PTHR13226:SF9,PFAM PANTHER PANTHER,Peptidase family C78 FAMILY NOT NAMED SUBFAMILY NOT NAMED
Mapoly0004s0203,GO:0005507 GO:0009055 PF02298,GO GO PFAM,copper ion binding electron carrier activity Plastocyanin-like domain
Mapoly0004s0204,PTHR23084 PTHR23084:SF131 PF02493,PANTHER PANTHER PFAM,PHOSPHATIDYLINOSITOL-4-PHOSPHATE 5-KINASE RELATED nan MORN repeat
Mapoly0004s0205,K05391 PTHR10217 PTHR10217:SF476 PF00027 KOG0498,KEGGORTH PANTHER PANTHER PFAM KOG,"cyclic nucleotide gated channel, other eukaryote VOLTAGE AND LIGAND GATED POTASSIUM CHANNEL nan Cyclic nucleotide-binding domain K+-channel ERG and related proteins, contain PAS/PAC sensor domain"
Mapoly0004s0207,PF04515 PTHR12385 PTHR12385:SF36,PFAM PANTHER PANTHER,Plasma-membrane choline transporter CTL TRANSPORTER nan
Mapoly0004s0210,PTHR31479:SF2 PTHR31479,PANTHER PANTHER,nan FAMILY NOT NAMED
Mapoly0004s0211,PTHR31479:SF2 PTHR31479 PF01764 GO:0006629,PANTHER PANTHER PFAM GO,nan FAMILY NOT NAMED Lipase (class 3) lipid metabolic process
Mapoly0004s0212,PTHR31479:SF2 PTHR31479 PF01764 GO:0006629,PANTHER PANTHER PFAM GO,nan FAMILY NOT NAMED Lipase (class 3) lipid metabolic process
Mapoly0004s0213,PF03215 GO:0005634 GO:0006281 PTHR12172 KOG1970 PTHR12172:SF0 K06662 GO:0007049,PFAM GO GO PANTHER KOG PANTHER KEGGORTH GO,"Rad17 cell cycle checkpoint protein nucleus DNA repair CELL CYCLE CHECKPOINT PROTEIN RAD17 Checkpoint RAD17-RFC complex, RAD17/RAD24 component SUBFAMILY NOT NAMED cell cycle checkpoint protein cell cycle"
Mapoly0004s0214,PTHR12308 PF04547 KOG2513,PANTHER PFAM KOG,NGEP-RELATED Calcium-activated chloride channel Protein required for meiotic chromosome segregation
Mapoly0004s0215,GO:0005524 PF00069 GO:0004672 PTHR24349 GO:0006468 KOG0032 PF13499 GO:0005509 PTHR24349:SF81,GO PFAM GO PANTHER GO KOG PFAM GO PANTHER,"ATP binding Protein kinase domain protein kinase activity SERINE/THREONINE-PROTEIN KINASE protein phosphorylation Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily EF-hand domain pair calcium ion binding nan"
Mapoly0004s0216,PF04577 PTHR20961 KOG4698 PTHR20961:SF5 GO:0016757,PFAM PANTHER KOG PANTHER GO,"Protein of unknown function (DUF563) GLYCOSYLTRANSFERASE Uncharacterized conserved protein nan transferase activity, transferring glycosyl groups"
Mapoly0004s0217,GO:0005524 PF00069 GO:0004672 PTHR24349 GO:0006468 PTHR24349:SF100,GO PFAM GO PANTHER GO PANTHER,ATP binding Protein kinase domain protein kinase activity SERINE/THREONINE-PROTEIN KINASE protein phosphorylation nan
Mapoly0004s0218,GO:0005524 PF00069 GO:0004672 GO:0006468 KOG0032 PTHR24345,GO PFAM GO GO KOG PANTHER,"ATP binding Protein kinase domain protein kinase activity protein phosphorylation Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily SERINE/THREONINE-PROTEIN KINASE PLK"
Mapoly0004s0219,GO:0005524 PTHR24362 PF00069 GO:0004672 KOG0583 GO:0006468,GO PANTHER PFAM GO KOG GO,ATP binding SERINE/THREONINE-PROTEIN KINASE NEK Protein kinase domain protein kinase activity Serine/threonine protein kinase protein phosphorylation
Mapoly0004s0223,GO:0005524 PF00069 GO:0004672 PTHR24349 GO:0006468 KOG0032 PTHR24349:SF100,GO PFAM GO PANTHER GO KOG PANTHER,"ATP binding Protein kinase domain protein kinase activity SERINE/THREONINE-PROTEIN KINASE protein phosphorylation Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily nan"
Mapoly0004s0224,GO:0005524 PTHR24362 PF00069 GO:0004672 KOG0583 GO:0006468,GO PANTHER PFAM GO KOG GO,ATP binding SERINE/THREONINE-PROTEIN KINASE NEK Protein kinase domain protein kinase activity Serine/threonine protein kinase protein phosphorylation
Mapoly0004s0225,GO:0005524 PF00069 GO:0004672 PTHR24349 KOG0583 GO:0006468 PTHR24349:SF100,GO PFAM GO PANTHER KOG GO PANTHER,ATP binding Protein kinase domain protein kinase activity SERINE/THREONINE-PROTEIN KINASE Serine/threonine protein kinase protein phosphorylation nan
Mapoly0004s0226,GO:0005524 PTHR24347 PF00069 GO:0004672 GO:0006468 KOG0032,GO PANTHER PFAM GO GO KOG,"ATP binding SERINE/THREONINE-PROTEIN KINASE Protein kinase domain protein kinase activity protein phosphorylation Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily"
Mapoly0004s0227,GO:0005506 KOG0156 GO:0055114 GO:0016705 GO:0020037 PTHR24298 PF00067,GO KOG GO GO GO PANTHER PFAM,"iron ion binding Cytochrome P450 CYP2 subfamily oxidation-reduction process oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen heme binding FAMILY NOT NAMED Cytochrome P450"
